onset,duration,trial_type,param_surprise,param_V,param_rpe,onset_sec,duration_sec,offset_sec,onset_tr_floor,offset_tr_ceil,feature_start_sec,feature_end_sec,feature_start_tr,feature_end_tr,feature_n_trs
3.47770013161789,1.90994496838175,ChoiceAudio,-0.1304725857041878,-0.2256368825179972,,3.47770013161789,1.90994496838175,5.38764509999964,1,3,8.145380131617891,10.05532509999964,3,4,2
11.1003976227657,1.57789007723477,ChoiceAudio,0.1229715643006283,-0.2256368825179972,,11.1003976227657,1.57789007723477,12.67828770000047,4,6,15.7680776227657,17.34596770000047,6,7,2
19.3722912481753,1.48734085182514,ChoiceAudio,-1.3151221043941534,-0.2256368825179972,,19.3722912481753,1.48734085182514,20.859632100000443,8,9,24.039971248175302,25.527312100000444,10,10,1
27.5961483379469,2.14968456205315,ChoiceAudio,-1.1058167081154924,0.563084955641109,,27.5961483379469,2.14968456205315,29.74583290000005,11,13,32.263828337946904,34.41351290000005,13,14,2
35.1763284688313,1.64154823116769,ChoiceAudio,0.7540873820663048,-0.2256368825179972,,35.1763284688313,1.64154823116769,36.81787669999899,15,16,39.844008468831305,41.485556699998995,17,17,1
42.2580048041564,1.94438539584371,ChoiceAudio,0.9323537078697842,-0.2256368825179972,,42.2580048041564,1.94438539584371,44.20239020000011,18,19,46.925684804156404,48.870070200000114,20,20,1
51.4684016129395,2.08034188706006,ChoiceAudio,1.098315686711933,-0.2256368825179972,,51.4684016129395,2.08034188706006,53.54874349999956,22,23,56.136081612939506,58.216423499999564,24,24,1
59.4676873441203,1.54306715587882,ChoiceAudio,1.253562749904003,-0.2256368825179972,,59.4676873441203,1.54306715587882,61.01075449999912,25,27,64.1353673441203,65.67843449999913,27,28,2
68.3234503465719,1.0733514534295,ChoiceAudio,-0.2679668407469054,-1.0143587206771034,,68.3234503465719,1.0733514534295,69.3968018000014,29,30,72.99113034657191,74.0644818000014,31,31,1
77.2160862214805,1.66753147852069,ChoiceAudio,-0.1304725857041878,-0.2256368825179972,,77.2160862214805,1.66753147852069,78.88361770000118,33,34,81.8837662214805,83.55129770000119,35,35,1
83.8103209850306,2.29034061497077,ChoiceAudio,-0.9757583000637516,-1.6417764938811945,,83.8103209850306,2.29034061497077,86.10066160000137,35,37,88.4780009850306,90.76834160000138,37,38,2
