onset,duration,trial_type,param_surprise,param_V,param_rpe,onset_tr
2.18384076507164,1.84753623492816,ChoiceAudio,-0.1406683977468721,-0.117612149895559,,1
10.2359906184929,1.84733818150698,ChoiceAudio,0.1325812071956247,-0.117612149895559,,4
17.443528420612,1.78912647938796,ChoiceAudio,0.3797655420095345,-0.117612149895559,,7
27.3100623427831,2.0264940572165,ChoiceAudio,-1.1922310245694316,-1.2634771720162123,,12
36.8091100800384,1.92789731996118,ChoiceAudio,-0.9846424595954996,-1.2634771720162123,,16
43.9850804284447,1.9054471715549,ChoiceAudio,1.005212715847848,-0.117612149895559,,19
51.660724911414,1.68076958858592,ChoiceAudio,1.184143834018184,-0.117612149895559,,22
59.3443584577717,2.20817344222814,ChoiceAudio,1.3515227168407304,-0.117612149895559,,25
66.9512953746662,1.97868552533373,ChoiceAudio,1.5087510092204734,-0.117612149895559,,29
74.5125150087551,2.14037129124472,ChoiceAudio,1.6569897863694871,-0.117612149895559,,32
83.4999370326987,1.79049956730114,ChoiceAudio,1.7972116404502103,-0.117612149895559,,36
91.579585814573,1.17765908542697,ChoiceAudio,-0.9189814196269336,-1.3487061656594552,,39
99.6669110225585,1.99461087744112,ChoiceAudio,0.2591171585540466,1.028252872225094,,43
107.052166198097,1.29443240190312,ChoiceAudio,0.3797655420095345,1.028252872225094,,46
115.585443782432,1.4089970175678,ChoiceAudio,-0.5565126589003289,-0.117612149895559,,50
122.62003393528,0.995573764719666,ChoiceAudio,-0.4461354672756302,1.113481865868337,,53
131.230428129711,1.24605107028901,ChoiceAudio,0.7112978816668797,-0.117612149895559,,56
138.456865369256,1.2743847307438,ChoiceAudio,0.8130157245208611,-0.117612149895559,,59
145.971773464459,0.898579035540479,ChoiceAudio,-0.8867639550406746,1.028252872225094,,63
153.35809915548,0.944427544519385,ChoiceAudio,-0.0463499109747102,-1.2634771720162123,,66
162.474386006579,0.720126093421186,ChoiceAudio,1.096221090431749,1.028252872225094,,70
171.024427782708,1.1861624172916,ChoiceAudio,0.1325812071956247,1.028252872225094,,73
179.122772490873,0.928780209126671,ChoiceAudio,-0.5284748447713895,1.119821165189994,,77
187.710343768058,1.22507403194186,ChoiceAudio,0.2999600900181721,-1.3487061656594552,,80
196.075463950142,0.88307504985778,ChoiceAudio,-0.3663300152842679,0.9366845792601944,,84
204.803059183897,1.39936141610269,ChoiceAudio,-0.8676238493671429,1.113481865868337,,88
213.022070300934,1.12346209906627,ChoiceAudio,-0.2137287937972564,-1.3487061656594552,,91
221.693411536555,0.871767663445098,ChoiceAudio,-0.7193850722181284,1.106671051934437,,95
231.224553128664,0.920925671335226,ChoiceAudio,-1.1211725371845909,1.119821165189994,,99
239.662191076782,0.851236023217552,ChoiceAudio,-0.5791632181374051,-1.355045464981112,,103
249.480404858215,0.893768041784824,ChoiceAudio,0.0669201672270599,1.113481865868337,,107
257.24030247576,1.29490822423941,ChoiceAudio,-0.9189814196269336,-1.2634771720162123,,110
265.545602769577,1.34189953042232,ChoiceAudio,-1.2547273630501994,1.120292679802237,,114
272.446574406191,1.50373049380914,ChoiceAudio,-0.7924454682685121,-1.1724154647366,,117
281.10269622615,1.38350717384947,ChoiceAudio,2.1178010417313096,-0.117612149895559,,120
289.522044102154,1.32147729784583,ChoiceAudio,0.3797655420095345,-1.355045464981112,,124
298.977431447634,1.23308255236543,ChoiceAudio,-1.013299906399096,-1.3419330313713402,,128
307.968567795225,2.23291670477511,ChoiceAudio,-0.0836667065490257,0.9362130646479514,,132
316.309551984863,1.25988131513668,ChoiceAudio,-0.0278909537088865,-0.117612149895559,,136
323.187820453358,1.27860124664221,ChoiceAudio,2.4030853436632897,1.028252872225094,,138
331.253204988108,1.60717451189157,ChoiceAudio,-1.138755469261394,1.1203277508752811,,142
339.148396534469,0.854057165531231,ChoiceAudio,-0.3402647451556784,-1.1714373644390697,,145
347.188111327746,0.978228572254011,ChoiceAudio,-0.2889071748958872,-1.185094063379914,,149
356.033824851302,1.73853794869774,ChoiceAudio,0.2342990500496062,1.119821165189994,,153
362.942738533358,1.69524386664125,ChoiceAudio,-0.5889314878678719,-1.3555169795933553,,156
371.946947959621,1.36455114037881,ChoiceAudio,-0.8867639550406746,-0.117612149895559,,159
380.15762174668,0.942687353319798,ChoiceAudio,-1.144643037164328,-1.1782481783729697,,163
389.983060548115,1.73017095188516,ChoiceAudio,1.7513082731416505,-0.117612149895559,,167
397.621172596321,1.13623560367841,ChoiceAudio,-0.4002320999670689,-1.2634771720162123,,170
405.329713296742,1.33447030325806,ChoiceAudio,-1.2801537681558663,0.9493631779035084,,174
412.962451424608,1.34091917539172,ChoiceAudio,-0.6571031500532557,-1.3555520506663994,,177
421.186890276756,1.39851182324355,ChoiceAudio,-0.9189814196269336,1.028252872225094,,180
428.82650092155,1.37969427844973,ChoiceAudio,-0.8761131287881535,-1.3555546592391403,,184
438.291741312303,1.27065718769654,ChoiceAudio,-1.1071915192426447,1.113481865868337,,188
446.661624734178,1.88185526582174,ChoiceAudio,2.056775342670407,1.028252872225094,,191
454.212854086175,1.31070041382509,ChoiceAudio,-0.0998254662827478,-1.3428760605958263,,195
462.210639626395,0.959632473604415,ChoiceAudio,0.3401697721695569,1.120292679802237,,198
471.948293528915,1.74023147108437,ChoiceAudio,-0.945046689755523,0.9430238785818512,,202
479.791762269515,1.17741383048497,ChoiceAudio,2.216424048242571,1.113481865868337,,206
487.161593372796,1.02376712720388,ChoiceAudio,0.0574028260969952,1.028252872225094,,209
