onset,duration,trial_type,param_surprise,param_V,param_rpe,onset_sec,duration_sec,offset_sec,onset_tr_floor,offset_tr_ceil,feature_start_sec,feature_end_sec,feature_start_tr,feature_end_tr,feature_n_trs
2.18384076507209,2.07616413493088,ChoiceTactile,-0.1349156596738007,-1.371978148022985,,2.18384076507209,2.07616413493088,4.26000490000297,0,2,6.851520765072091,8.927684900002971,2,3,2
10.2359906184938,2.27683658150636,ChoiceTactile,0.1271592007561934,-1.371978148022985,,10.2359906184938,2.27683658150636,12.51282720000016,4,6,14.9036706184938,17.18050720000016,6,7,2
17.443528420612,2.25943007938986,ChoiceTactile,0.3642347495404961,-1.371978148022985,,17.443528420612,2.25943007938986,19.702958500001863,7,9,22.111208420612,24.370638500001863,9,10,2
27.3100623427817,2.23570215722066,ChoiceTactile,0.5806677684755646,-1.371978148022985,,27.3100623427817,2.23570215722066,29.54576450000236,11,13,31.9777423427817,34.21344450000236,13,14,2
36.8091100800375,1.98489431996495,ChoiceTactile,-0.9443747786066924,-1.371978148022985,,36.8091100800375,1.98489431996495,38.79400440000245,15,17,41.4767900800375,43.461684400002454,17,18,2
43.9850804284433,2.7321893715598,ChoiceTactile,0.9641037990291664,-1.371978148022985,,43.9850804284433,2.7321893715598,46.717269800003095,18,21,48.6527604284433,51.3849498000031,20,22,3
51.6607249114131,2.71876048858758,ChoiceTactile,-0.5884242273931718,-1.3767538388120668,,51.6607249114131,2.71876048858758,54.379485400000675,22,24,56.3284049114131,59.04716540000068,24,25,2
59.3443584577726,2.41048524222788,ChoiceTactile,1.29625119662493,-1.371978148022985,,59.3443584577726,2.41048524222788,61.75484370000048,25,27,64.0120384577726,66.42252370000048,27,28,2
66.9512953746671,2.28562332533329,ChoiceTactile,-1.285650298634147,-0.4295257011097404,,66.9512953746671,2.28562332533329,69.23691870000039,28,30,71.6189753746671,73.90459870000039,30,31,2
74.5125150087551,2.39682169124717,ChoiceTactile,-0.1349156596738007,-1.371978148022985,,74.5125150087551,2.39682169124717,76.90933670000227,31,33,79.1801950087551,81.57701670000228,33,34,2
83.4999370326987,1.99628936730369,ChoiceTactile,1.723713342360618,-1.371978148022985,,83.4999370326987,1.99628936730369,85.49622640000239,35,37,88.1676170326987,90.16390640000239,37,38,2
91.5795858145721,2.24017448542872,ChoiceTactile,-0.8813989953880067,-0.4262323059227031,,91.5795858145721,2.24017448542872,93.81976030000082,39,41,96.2472658145721,98.48744030000083,41,42,2
99.6669110225594,2.04523117744247,ChoiceTactile,0.2485203708798011,-1.3767538388120668,,99.6669110225594,2.04523117744247,101.71214220000188,42,44,104.33459102255941,106.37982220000188,44,45,2
107.052166198097,2.48560910190645,ChoiceTactile,0.3642347495404961,-1.371978148022985,,107.052166198097,2.48560910190645,109.53777530000345,45,47,111.719846198097,114.20545530000345,47,48,2
115.585443782431,2.44119541757027,ChoiceTactile,2.198946157959385,-1.371978148022985,,115.585443782431,2.44119541757027,118.02663920000127,49,51,120.253123782431,122.69431920000127,51,52,2
122.62003393528,2.59864136472243,ChoiceTactile,-0.4278904276686366,-0.4262323059227031,,122.62003393528,2.59864136472243,125.21867530000243,52,54,127.28771393528001,129.88635530000244,54,55,2
131.230428129711,1.95092037029099,ChoiceTactile,-1.0419327951125423,0.2236984558786637,,131.230428129711,1.95092037029099,133.18134850000197,56,58,135.89810812971098,137.84902850000196,58,59,2
138.456865369255,1.79267853074634,ChoiceTactile,-0.228791350457327,-0.4262323059227031,,138.456865369255,1.79267853074634,140.24954390000136,59,61,143.124545369255,144.91722390000135,61,62,2
145.971773464458,2.14086573554232,ChoiceTactile,0.8736425364703994,-0.4262323059227031,,145.971773464458,2.14086573554232,148.11263920000033,62,64,150.639453464458,152.78031920000032,64,65,2
153.358099155481,2.39379374451892,ChoiceTactile,2.688245423322733,-1.371978148022985,,153.358099155481,2.39379374451892,155.75189289999992,65,67,158.025779155481,160.4195728999999,67,68,2
162.474386006579,2.35515109342305,ChoiceTactile,0.0428321227394252,-0.4324902923138295,,162.474386006579,2.35515109342305,164.82953710000206,69,71,167.142066006579,169.49721710000205,71,72,2
171.024427782708,1.88339221729257,ChoiceTactile,-0.5884242273931718,0.2259696355544493,,171.024427782708,1.88339221729257,172.90782000000056,73,75,175.69210778270798,177.57550000000055,75,76,2
179.122772490871,1.96846110912884,ChoiceTactile,-0.5068624754768479,0.2259696355544493,,179.122772490871,1.96846110912884,181.09123359999984,76,78,183.790452490871,185.75891359999983,78,79,2
187.710343768056,2.08729973194568,ChoiceTactile,-0.9829400560934668,0.6741726154705161,,187.710343768056,2.08729973194568,189.79764350000167,80,82,192.37802376805598,194.46532350000166,82,83,2
196.075463950143,1.90720354985751,ChoiceTactile,-0.9063983070337004,0.218689433652071,,196.075463950143,1.90720354985751,197.9826675000005,84,85,200.74314395014298,202.6503475000005,86,86,1
204.803059183898,1.69269301610257,ChoiceTactile,-0.8321417309147764,0.6757388584589085,,204.803059183898,1.69269301610257,206.49575220000057,87,89,209.470739183898,211.16343220000056,89,90,2
213.022070300933,2.16555099906691,ChoiceTactile,1.5191534274539966,-0.4262323059227031,,213.022070300933,2.16555099906691,215.1876212999999,91,93,217.68975030093299,219.8553012999999,93,94,2
221.693411536555,2.28868366344614,ChoiceTactile,1.5892259646197646,-1.371978148022985,,221.693411536555,2.28868366344614,223.98209520000114,94,96,226.361091536555,228.64977520000113,96,97,2
231.224553128664,2.20063547133759,ChoiceTactile,1.6573784626541814,-0.4262323059227031,,231.224553128664,2.20063547133759,233.4251886000016,99,101,235.892233128664,238.0928686000016,101,102,2
239.662191076783,2.37339882321976,ChoiceTactile,0.715155146216418,-1.3815220445188592,,239.662191076783,2.37339882321976,242.03558990000275,102,104,244.32987107678298,246.70326990000274,104,105,2
249.480404858215,1.86286184178607,ChoiceTactile,-0.9443747786066924,0.6707183110732263,,249.480404858215,1.86286184178607,251.34326670000107,106,108,254.148084858215,256.01094670000106,108,109,2
257.240302475759,1.29249352424449,ChoiceTactile,-0.8813989953880067,0.9859071376485032,,257.240302475759,1.29249352424449,258.5327960000035,110,111,261.907982475759,263.2004760000035,112,112,1
265.545602769576,1.94354253042547,ChoiceTactile,-0.8199783298011935,0.6661899316999887,,265.545602769576,1.94354253042547,267.4891453000015,113,115,270.21328276957604,272.1568253000015,115,116,2
272.446574406189,1.97357769381051,ChoiceTactile,0.2485203708798011,0.2259696355544493,,272.446574406189,1.97357769381051,274.4201520999995,116,118,277.114254406189,279.0878320999995,118,119,2
281.102696226149,1.94474507385166,ChoiceTactile,-1.0849438478152662,0.979322040158294,,281.102696226149,1.94474507385166,283.0474413000007,120,122,285.77037622614904,287.7151213000007,122,123,2
289.522044102156,1.69956479784742,ChoiceTactile,-0.190814878884334,0.6757388584589085,,289.522044102156,1.69956479784742,291.2216089000034,124,125,294.189724102156,295.8892889000034,126,126,1
298.977431447634,1.95324735236863,ChoiceTactile,0.4201339687510283,-0.432813934460496,,298.977431447634,1.95324735236863,300.9306788000026,128,129,303.645111447634,305.59835880000264,130,130,1
307.968567795226,2.15248900477673,ChoiceTactile,0.4748045336658185,0.2216540248561609,,307.968567795226,2.15248900477673,310.12105680000275,131,133,312.63624779522604,314.78873680000277,133,134,2
316.309551984865,1.31113311513764,ChoiceTactile,-0.8636949308198542,1.199804302052459,,316.309551984865,1.31113311513764,317.6206851000026,135,137,320.977231984865,322.28836510000264,137,138,2
323.187820453357,2.43688234664296,ChoiceTactile,0.0256181400507344,0.6727627420957298,,323.187820453357,2.43688234664296,325.62470279999997,138,140,327.855500453357,330.2923828,140,141,2
331.253204988108,1.99459601189301,ChoiceTactile,-0.3766017947107971,0.6677537198691371,,331.253204988108,1.99459601189301,333.247801000001,141,143,335.920884988108,337.915481000001,143,144,2
339.148396534467,2.45972296553373,ChoiceTactile,0.1271592007561934,-0.4390616052693581,,339.148396534467,2.45972296553373,341.6081195000007,145,147,343.816076534467,346.27579950000074,147,148,2
347.188111327745,2.28057667225585,ChoiceTactile,-0.6605281330435486,0.9824448853112916,,347.188111327745,2.28057667225585,349.46868800000084,148,150,351.855791327745,354.13636800000086,150,151,2
356.033824851304,1.94573924869837,ChoiceTactile,-0.9443747786066924,1.19526311014154,,356.033824851304,1.94573924869837,357.9795641000024,152,154,360.70150485130404,362.6472441000024,154,155,2
