onset	duration	trial_type	param_surprise	param_V	param_rpe
3.4777001316188	2.21425326838107	ChoiceTactile	-0.12653440191341414	-0.1102806615781667	
7.22228203106124	1.0000000000000009	FeedbackTactile			-1.315242805757656
11.1003976227666	1.96163627723308	ChoiceTactile	0.11925979129757909	-0.1102806615781667	
15.2427180700288	1.0	FeedbackTactile			-1.315242805757656
19.3722912481744	2.03761485182531	ChoiceTactile	0.3416076851317409	-0.1102806615781667	
23.0626988662307	1.0	FeedbackTactile			-1.315242805757656
27.596148337946	2.41074066205374	ChoiceTactile	-1.0724387428367108	-0.1102806615781667	
31.7658337285593	1.0	FeedbackTactile			1.147395993515723
35.1763284688304	1.8962421311694	ChoiceTactile	0.7313260127805479	-0.1102806615781667	
38.8159542033072	1.0	FeedbackTactile			-1.315242805757656
42.2580048041546	1.8288155958453	ChoiceTactile	0.9042115488117469	-0.1102806615781667	
45.9824934732169	1.0	FeedbackTactile			-1.315242805757656
51.4684016129404	1.57084118705961	ChoiceTactile	1.0651641322208756	-0.1102806615781667	
55.7760607333712	1.0	FeedbackTactile			-1.315242805757656
59.4676873441222	1.88012035587781	ChoiceTactile	-0.40130893241327653	-0.1102806615781667	
63.700899745385	1.0	FeedbackTactile			1.147395993515723
68.3234503465715	1.82243175342865	ChoiceTactile	-0.2598785311376597	-0.1102806615781667	
72.538719482679	1.0	FeedbackTactile			-1.315242805757656
77.2160862214814	1.84201607851855	ChoiceTactile	-1.0724387428367108	0.6967323447601312	
80.7909744867393	1.0	FeedbackTactile			0.5601232883485815
83.8103209850296	1.59383081497026	ChoiceTactile	-0.946306017039819	-0.9172936679164647	
87.7330757702948	1.0	FeedbackTactile			-0.7279701005905145
91.6483885658772	1.83858393412265	ChoiceTactile	-0.8266445496257164	-0.9172936679164647	
95.5612116684833	1.0	FeedbackTactile			-0.7279701005905145
101.349533172408	2.31569362759183	ChoiceTactile	0.23308173838831286	-0.9172936679164647	
105.473957006261	1.0	FeedbackTactile			-0.7279701005905145
108.873211364939	2.20762683506064	ChoiceTactile	1.9586418364784706	-0.1102806615781667	
112.469730840735	1.0	FeedbackTactile			1.147395993515723
116.104077388172	1.8016511118276	ChoiceTactile	2.0623427822235403	-0.1102806615781667	
120.129741984687	1.0	FeedbackTactile			-1.315242805757656
124.826389406197	2.22933439380358	ChoiceTactile	2.1616295598567508	-0.1102806615781667	
128.82050356026	1.0	FeedbackTactile			1.147395993515723
134.19941888961	1.87684921039045	ChoiceTactile	0.6398285150084346	-0.9172936679164647	
137.935193115964	1.0	FeedbackTactile			-0.7279701005905145
142.597129984187	1.91082701581308	ChoiceTactile	0.7313260127805479	-0.1102806615781667	
147.09349276822	1.0	FeedbackTactile			-1.315242805757656
150.188198734524	2.174376565476	ChoiceTactile	-0.12653440191341414	-0.1102806615781667	
154.254664690533	1.0	FeedbackTactile			1.147395993515723
159.323195201642	1.95774939835792	ChoiceTactile	-0.7128226025349832	1.1188438288149352	
163.316659546309	1.0	FeedbackTactile			0.252947875838483
167.906970439996	1.83803796000348	ChoiceTactile	-0.6309585134322699	-1.3394051519712686	
171.554844434287	1.0	FeedbackTactile			-0.420794688080416
174.821857776725	2.11759242327525	ChoiceTactile	1.0651641322208756	-0.9172936679164647	
178.805843788523	1.0	FeedbackTactile			1.7346686986828643
182.23581163173	2.53266166827007	ChoiceTactile	-0.9959437864862404	-1.5601923060462763	
186.472757738997	1.0	FeedbackTactile			-0.2601253206459212
190.134337197494	1.99664100250629	ChoiceTactile	-0.40130893241327653	-1.3394051519712686	
194.000902188845	1.0	FeedbackTactile			-0.420794688080416
