onset,duration,trial_type,param_surprise,param_V,param_rpe,onset_sec,duration_sec,offset_sec,onset_tr_floor,offset_tr_ceil,feature_start_sec,feature_end_sec,feature_start_tr,feature_end_tr,feature_n_trs
2.2075770762458,1.46234022375393,ChoiceTactile,-0.1438376432942552,-0.3592312605701717,,2.2075770762458,1.46234022375393,3.66991729999973,0,2,6.8752570762458,8.33759729999973,2,3,2
11.4497872554512,2.37404084454829,ChoiceTactile,0.1355682491133659,-0.3592312605701717,,11.4497872554512,2.37404084454829,13.82382809999949,4,6,16.117467255451203,18.491508099999493,6,7,2
19.8745131355772,1.75647026442311,ChoiceTactile,-1.44983762772293,-0.3592312605701717,,19.8745131355772,1.75647026442311,21.63098340000031,8,10,24.5421931355772,26.29866340000031,10,11,2
28.4336039878581,2.16858791214145,ChoiceTactile,0.6190673755470544,-0.3592312605701717,,28.4336039878581,2.16858791214145,30.60219189999955,12,14,33.101283987858096,35.26987189999955,14,15,2
36.071813325947,2.19223927405255,ChoiceTactile,0.8313328910355942,0.173813777384685,,36.071813325947,2.19223927405255,38.264052599999545,15,17,40.739493325946995,42.93173259999955,17,18,2
44.4735408320284,2.71718086797227,ChoiceTactile,-0.810299188877267,0.3206317985001978,,44.4735408320284,2.71718086797227,47.190721700000665,19,21,49.141220832028395,51.85840170000067,21,22,2
52.6209804364062,2.06989626359427,ChoiceTactile,1.210822481344333,-0.3592312605701717,,52.6209804364062,2.06989626359427,54.69087670000047,22,24,57.288660436406204,59.35855670000048,24,25,2
60.1618571999825,1.80884470001729,ChoiceTactile,-0.4561868566839125,0.7782397961065021,,60.1618571999825,1.80884470001729,61.97070189999979,25,27,64.8295371999825,66.63838189999979,27,28,2
67.114048802614,2.55695699738681,ChoiceTactile,-1.3706704581455016,-0.8922762985250285,,67.114048802614,2.55695699738681,69.6710058000008,28,30,71.781728802614,74.3386858000008,30,31,2
74.6917093228785,2.10289387712146,ChoiceTactile,-1.2190918755252222,1.2971268702450027,,74.6917093228785,2.10289387712146,76.79460319999995,32,33,79.3593893228785,81.46228319999996,34,34,1
82.8504986118878,2.04026388811326,ChoiceTactile,-0.0004566042522388,-0.2837942202216192,,82.8504986118878,2.04026388811326,84.89076250000106,35,37,87.5181786118878,89.55844250000106,37,38,2
90.7218152894457,2.18649331055531,ChoiceTactile,1.9737275001856427,-0.9514225331958464,,90.7218152894457,2.18649331055531,92.908308600001,38,40,95.3894952894457,97.57598860000101,40,41,2
99.8287822593502,1.98397384064992,ChoiceTactile,2.103114294425976,-1.1153203703559555,,99.8287822593502,1.98397384064992,101.81275610000013,42,44,104.49646225935021,106.48043610000013,44,45,2
107.568732587984,2.27646981201542,ChoiceTactile,2.226480874421622,-1.5892191736399943,,107.568732587984,2.27646981201542,109.84520239999942,46,48,112.236412587984,114.51288239999943,48,49,2
114.469207160169,0.0,ChoiceTactile,0.5062033963517825,0.0,,114.469207160169,0.0,114.469207160169,49,50,119.13688716016901,119.13688716016901,51,51,1
