onset,duration,trial_type,param_surprise,param_V,param_rpe,onset_sec,duration_sec,offset_sec,onset_tr_floor,offset_tr_ceil,feature_start_sec,feature_end_sec,feature_start_tr,feature_end_tr,feature_n_trs
3.47770013161789,1.57821176838297,ChoiceTactile,-0.1465210850758919,0.4618582391224416,,3.47770013161789,1.57821176838297,5.05591190000086,1,3,8.145380131617891,9.72359190000086,3,4,2
11.1003976227657,2.31834657723448,ChoiceTactile,0.1380974166914938,0.4618582391224416,,11.1003976227657,2.31834657723448,13.41874420000018,4,6,15.7680776227657,18.08642420000018,6,7,2
19.3722912481735,1.97913975182746,ChoiceTactile,0.3955661696652011,0.4618582391224416,,19.3722912481735,1.97913975182746,21.35143100000096,8,10,24.0399712481735,26.01911100000096,10,11,2
27.5961483379451,2.16948756205602,ChoiceTactile,0.6306167253774928,0.4618582391224416,,27.5961483379451,2.16948756205602,29.76563590000112,11,13,32.2638283379451,34.43331590000112,13,14,2
35.1763284688295,2.26654493117167,ChoiceTactile,0.8468422762226837,0.4618582391224416,,35.1763284688295,2.26654493117167,37.442873400001176,15,17,39.8440084688295,42.11055340000118,17,18,2
42.2580048041546,2.12795899584671,ChoiceTactile,-0.825416168335915,0.4618582391224416,,42.2580048041546,2.12795899584671,44.38596380000131,18,20,46.9256848041546,49.05364380000131,20,21,2
51.4684016129413,2.57518838705982,ChoiceTactile,1.233411642026961,0.4618582391224416,,51.4684016129413,2.57518838705982,54.04359000000112,22,24,56.1360816129413,58.71127000000112,24,25,2
59.4676873441222,2.22974285587952,ChoiceTactile,-1.56001172529344,-0.1667871283975122,,59.4676873441222,2.22974285587952,61.69743020000172,25,27,64.1353673441222,66.36511020000172,27,28,2
68.3234503465719,2.35448655342952,ChoiceTactile,-0.3009275248028986,1.0905036066423943,,68.3234503465719,2.35448655342952,70.67793690000143,29,31,72.99113034657191,75.34561690000143,31,32,2
77.2160862214823,2.34149337851886,ChoiceTactile,1.7259309507129588,0.4618582391224416,,77.2160862214823,2.34149337851886,79.55757960000116,33,35,81.8837662214823,84.22525960000117,35,36,2
83.8103209850287,2.5018755149722,ChoiceTactile,-0.0004651226824637,-0.1667871283975122,,83.8103209850287,2.5018755149722,86.3121965000009,35,37,88.4780009850287,90.9798765000009,37,38,2
91.6483885658781,2.65918223412336,ChoiceTactile,0.1380974166914938,0.4618582391224416,,91.6483885658781,2.65918223412336,94.30757080000146,39,41,96.3160685658781,98.97525080000146,41,42,2
101.349533172408,2.59479712759276,ChoiceTactile,2.142350092788403,0.4618582391224416,,101.349533172408,2.59479712759276,103.94433030000076,43,45,106.017213172408,108.61201030000076,45,46,2
108.87321136494,2.28103183506028,ChoiceTactile,2.268018205454052,0.4618582391224416,,108.87321136494,2.28103183506028,111.15424320000028,46,48,113.54089136494001,115.82192320000028,48,49,2
116.104077388172,2.95364651182899,ChoiceTactile,0.5156471505225729,-0.1667871283975122,,116.104077388172,2.95364651182899,119.057723900001,49,52,120.771757388172,123.725403900001,51,53,3
124.826389406197,2.10778599380501,ChoiceTactile,0.6306167253774928,0.4618582391224416,,124.826389406197,2.10778599380501,126.934175400002,53,55,129.49406940619699,131.601855400002,55,56,2
134.19941888961,2.26509731039187,ChoiceTactile,-0.3544218919945039,0.4618582391224416,,134.19941888961,2.26509731039187,136.46451620000187,57,59,138.86709888961,141.13219620000186,59,60,2
142.597129984186,2.26871971581568,ChoiceTactile,-0.2484719491127834,1.0905036066423943,,142.597129984186,2.26871971581568,144.8658497000017,61,63,147.264809984186,149.53352970000168,63,64,2
150.188198734524,1.98215766547582,ChoiceTactile,-0.1465210850758919,0.4618582391224416,,150.188198734524,1.98215766547582,152.17035639999983,64,66,154.855878734524,156.83803639999982,66,67,2
159.323195201641,2.37396429836008,ChoiceTactile,-0.825416168335915,-0.7532910201526816,,159.323195201641,2.37396429836008,161.69715950000108,68,70,163.990875201641,166.36483950000107,70,71,2
167.906970439995,2.14536906000467,ChoiceTactile,0.0465165357013264,-0.1667871283975122,,167.906970439995,2.14536906000467,170.05233949999968,71,73,172.574650439995,174.72001949999967,73,74,2
174.821857776726,2.71929032327535,ChoiceTactile,-0.6390403937618909,-0.7532910201526816,,174.821857776726,2.71929032327535,177.54114810000135,74,77,179.489537776726,182.20882810000134,76,78,3
182.23581163173,0.0,ChoiceTactile,0.2266750986326744,0.0,,182.23581163173,0.0,182.23581163173,78,79,186.90349163173,186.90349163173,80,80,1
190.134337197493,2.12225060250785,ChoiceTactile,-0.4646974999579742,-0.1667871283975122,,190.134337197493,2.12225060250785,192.25658780000086,81,83,194.802017197493,196.92426780000085,83,84,2
199.331851360301,2.46632763970047,ChoiceTactile,-0.3815716407881848,-0.1667871283975122,,199.331851360301,2.46632763970047,201.79817900000145,85,87,203.99953136030098,206.46585900000144,87,88,2
208.335738915708,2.66698758429266,ChoiceTactile,-0.9037224414523672,-1.3004784056272762,,208.335738915708,2.66698758429266,211.00272650000065,89,91,213.00341891570798,215.67040650000064,91,92,2
217.530857753145,2.17433324685589,ChoiceTactile,-0.825416168335915,-0.7532910201526816,,217.530857753145,2.17433324685589,219.7051910000009,93,95,222.198537753145,224.37287100000088,95,96,2
