onset	duration	trial_type	param_surprise	param_V	param_rpe
3.47770013161835	2.22617716838158	ChoiceTactile	-0.1521116228044484	-0.9584286429118358	
7.22228203106124	1.0000000000000009	FeedbackTactile			-0.7687330250565525
11.1003976227662	1.87931707723374	ChoiceTactile	0.14336654787373992	-0.9584286429118358	
15.2427180700292	0.9999999999999982	FeedbackTactile			-0.7687330250565525
19.372291248174	2.3994249518264	ChoiceTactile	0.4106590663258306	-0.9584286429118358	
23.0626988662311	1.0	FeedbackTactile			1.4854756649476084
27.596148337946	2.1117972620541	ChoiceTactile	0.6546780172636084	-0.9584286429118358	
31.7658337285588	1.0000000000000036	FeedbackTactile			-0.7687330250565525
35.1763284688304	1.81350353116977	ChoiceTactile	0.879153691968118	-0.9584286429118358	
38.8159542033068	1.0	FeedbackTactile			1.4854756649476084
42.2580048041546	2.30880439584553	ChoiceTactile	1.0869857048235474	-0.9584286429118358	
45.9824934732173	1.0	FeedbackTactile			1.4854756649476084
51.4684016129409	1.57087838705911	ChoiceTactile	1.280472679801972	-0.9584286429118358	
55.7760607333707	1.0	FeedbackTactile			1.4854756649476084
59.4676873441217	2.07411995587836	ChoiceTactile	1.4614676573316652	-0.9584286429118358	
63.700899745385	1.0	FeedbackTactile			-0.7687330250565525
68.3234503465715	2.04039175342859	ChoiceTactile	1.6314863046449832	-0.9584286429118358	
72.5387194826794	1.0	FeedbackTactile			-0.7687330250565525
77.2160862214819	2.15019957851837	ChoiceTactile	-0.1521116228044484	-0.9655128708312006	
80.7909744867388	1.0	FeedbackTactile			-0.7654406177035629
83.8103209850292	2.21041811497116	ChoiceTactile	-0.0004828695200838512	-0.9584286429118358	
87.7330757702944	1.0	FeedbackTactile			1.4854756649476084
91.6483885658777	1.93483703412267	ChoiceTactile	0.14336654787373992	-0.9584286429118358	
95.5612116684838	1.0	FeedbackTactile			1.4854756649476084
101.349533172408	1.86478772759165	ChoiceTactile	-0.8569100671727417	-0.9655128708312006	
105.473957006262	1.0	FeedbackTactile			-0.7654406177035629
108.87321136494	1.5701564350602	ChoiceTactile	0.4106590663258306	-0.9584286429118358	
112.469730840734	1.0	FeedbackTactile			-0.7687330250565525
116.104077388172	1.98376251182844	ChoiceTactile	0.5353217580927105	-0.9584286429118358	
120.129741984687	1.0	FeedbackTactile			-0.7687330250565525
124.826389406196	1.97739319380389	ChoiceTactile	-0.4824281146646237	0.585570000523636	
128.82050356026	1.0	FeedbackTactile			-1.4863091031436504
134.19941888961	1.8419240103899	ChoiceTactile	0.7691612104121047	-0.9584286429118358	
137.935193115965	1.0	FeedbackTactile			-0.7687330250565525
142.597129984186	1.43983381581393	ChoiceTactile	-1.0647420800281708	0.5739755668640532	
147.093492768221	1.0	FeedbackTactile			0.7732881202432678
150.188198734525	2.53175686547547	ChoiceTactile	-0.1521116228044484	-0.9655128708312006	
154.254664690533	1.0	FeedbackTactile			-0.7654406177035629
159.323195201642	2.08967629835843	ChoiceTactile	-0.050120427104684784	0.585570000523636	
163.316659546309	1.0	FeedbackTactile			0.7678995868605102
167.906970439996	1.57068286000413	ChoiceTactile	0.04829138228880062	0.585570000523636	
171.554844434287	1.0	FeedbackTactile			0.7678995868605102
174.821857776725	2.21193222327474	ChoiceTactile	0.14336654787373992	-0.9725764048687652	
178.805843788523	1.0	FeedbackTactile			-0.762157827868442
182.23581163173	2.54286976827052	ChoiceTactile	-0.5714657132454072	1.1465749255503825	
186.472757738997	1.0	FeedbackTactile			0.5071715638147674
190.134337197493	2.68389520250685	ChoiceTactile	-0.4824281146646237	-0.9725764048687652	
194.000902188844	1.0	FeedbackTactile			1.492050862135719
199.3318513603	2.63197853969996	ChoiceTactile	-1.021925236280591	-0.9655128708312006	
202.947099798662	1.0	FeedbackTactile			-0.7654406177035629
208.335738915708	1.86117778429252	ChoiceTactile	-0.3124094673513058	1.1465749255503825	
212.832629255865	1.0	FeedbackTactile			0.5071715638147674
217.530857753145	1.85618564685456	ChoiceTactile	-0.23111540463437802	-0.9655128708312006	
221.04070085977	1.0	FeedbackTactile			1.488768072300598
226.893352375404	2.20235922459642	ChoiceTactile	-0.7779062853428126	1.3504135281569132	
231.341027035625	1.0	FeedbackTactile			0.41243721567072256
235.819457682047	2.1045661179528	ChoiceTactile	-1.2123787347163466	-0.9725764048687652	
240.059829646187	1.0	FeedbackTactile			1.492050862135719
244.346177409956	2.07553039004461	ChoiceTactile	1.943412902476205	0.585570000523636	
248.635881674565	1.0	FeedbackTactile			-1.4863091031436504
252.446293077589	2.57199282241163	ChoiceTactile	2.01625982389635	-0.9655128708312006	
256.663746807891	1.0	FeedbackTactile			-0.7654406177035629
260.064744063167	1.95249353683312	ChoiceTactile	2.0872623198700286	0.585570000523636	
264.465159721942	1.0	FeedbackTactile			-1.4863091031436504
268.134572390468	2.63548140953208	ChoiceTactile	-0.9244904165469644	1.424477362642149	
272.050088603226	1.0	FeedbackTactile			0.3780159186676668
276.884240842166	1.45263115783473	ChoiceTactile	-0.34559859778287433	1.3504135281569132	
280.792187066255	1.0	FeedbackTactile			-1.8417714743334381
284.282854423881	2.31297387611949	ChoiceTactile	-0.279608522786544	0.5804294751937153	
288.335115024193	1.0	FeedbackTactile			-1.483920034978834
292.290555878558	2.18268012144199	ChoiceTactile	-1.1587547531623397	1.1423621405109805	
296.11674032225	1.0	FeedbackTactile			0.5091294630520826
300.66251832976	2.50822597024035	ChoiceTactile	-0.1521116228044484	0.582995978344489	
304.945355737355	1.0	FeedbackTactile			0.7690958681837318
308.128169734361	2.26949146563948	ChoiceTactile	-1.0340920613954592	1.4513881219807272	
312.624157787748	1.0	FeedbackTactile			0.3655090960570227
317.769531868136	1.86120083186415	ChoiceTactile	-0.5414713226204189	-0.9725764048687652	
322.203950835911	1.0	FeedbackTactile			-0.762157827868442
326.251910523666	2.3214368763347	ChoiceTactile	0.6546780172636084	-0.9796193054738472	
330.212661154339	1.0	FeedbackTactile			1.4953240625468973
334.354148853828	2.29066964617186	ChoiceTactile	-0.8569100671727417	-0.9796193054738472	
338.139144979705	1.0	FeedbackTactile			-0.7588846274572635
342.807641505319	2.14807449468117	ChoiceTactile	-1.1747345615841842	1.461166024694139	
346.642124399546	1.0	FeedbackTactile			0.36096479861813674
351.978270860114	2.21572903988636	ChoiceTactile	-1.1191991074193632	1.1456396662314907	
355.499806807217	1.0	FeedbackTactile			0.5076062272238954
361.174379185806	2.41633171419426	ChoiceTactile	0.25335902942975447	0.5778704691073279	
