onset,duration,trial_type,param_surprise,param_V,param_rpe,onset_sec,duration_sec,offset_sec,onset_tr_floor,offset_tr_ceil,feature_start_sec,feature_end_sec,feature_start_tr,feature_end_tr,feature_n_trs
3.64844503374115,2.11738616625735,ChoiceAudio,-0.1415751583940698,-1.8412092224691756,,3.64844503374115,2.11738616625735,5.7658311999985,1,3,8.316125033741152,10.4335111999985,3,4,2
12.2981425512808,1.55643094871994,ChoiceAudio,0.1334358371137054,-1.8412092224691756,,12.2981425512808,1.55643094871994,13.85457350000074,5,6,16.9658225512808,18.52225350000074,7,7,1
22.0041647879953,1.37517671200476,ChoiceAudio,0.3822135435093141,-1.8412092224691756,,22.0041647879953,1.37517671200476,23.37934150000006,9,11,26.6718447879953,28.04702150000006,11,12,2
30.6494679899261,1.51603321007133,ChoiceAudio,0.6093297953330399,-1.8412092224691756,,30.6494679899261,1.51603321007133,32.16550119999743,13,14,35.3171479899261,36.833181199997426,15,15,1
39.341574029404,1.42054367059609,ChoiceAudio,-0.9909895499741624,0.5748033905450286,,39.341574029404,1.42054367059609,40.76211770000009,16,18,44.009254029404005,45.429797700000094,18,19,2
46.713776366003,1.53463013399596,ChoiceAudio,1.0116924038758135,-1.8412092224691756,,46.713776366003,1.53463013399596,48.248406499998964,20,21,51.38145636600301,52.91608649999897,22,22,1
54.6606481925373,1.51684940746054,ChoiceAudio,-0.6174691166134042,0.5748033905450286,,54.6606481925373,1.51684940746054,56.17749759999784,23,25,59.3283281925373,60.84517759999784,25,26,2
63.3706752201251,1.55661427987434,ChoiceAudio,1.3602347490601496,-1.8412092224691756,,63.3706752201251,1.55661427987434,64.92728949999945,27,28,68.0383552201251,69.59496949999945,29,29,1
71.3288529652382,1.51964263476111,ChoiceAudio,-0.290769495510074,0.5748033905450286,,71.3288529652382,1.51964263476111,72.84849559999931,30,32,75.9965329652382,77.51617559999931,32,33,2
80.532437517737,1.08992868226051,ChoiceAudio,1.6676708857148568,-1.8412092224691756,,80.532437517737,1.08992868226051,81.6223661999975,34,35,85.200117517737,86.2900461999975,36,36,1
88.3731587258262,1.72658737417441,ChoiceAudio,-0.0004494221252073,-2.3718862621199666,,88.3731587258262,1.72658737417441,90.09974610000062,37,39,93.0408387258262,94.76742610000062,39,40,2
96.2795307641754,1.12051353582501,ChoiceAudio,0.1334358371137054,0.5748033905450286,,96.2795307641754,1.12051353582501,97.40004430000042,41,42,100.94721076417541,102.06772430000042,43,43,1
104.868781299003,1.4865550009963,ChoiceAudio,0.2607874501487038,0.5748033905450286,,104.868781299003,1.4865550009963,106.35533629999931,44,46,109.53646129900301,111.02301629999931,46,47,2
112.912369561047,1.16396483895369,ChoiceAudio,-0.6761275468725041,0.5778204265526063,,112.912369561047,1.16396483895369,114.07633440000069,48,49,117.580049561047,118.7440144000007,50,50,1
122.262097784507,1.02227541549291,ChoiceAudio,-0.5600999875885122,0.5778204265526063,,122.262097784507,1.02227541549291,123.28437319999992,52,53,126.92977778450701,127.95205319999992,54,54,1
131.023137174892,1.66147622510834,ChoiceAudio,2.418575839441968,-1.8412092224691756,,131.023137174892,1.66147622510834,132.68461340000036,56,57,135.690817174892,137.35229340000035,58,58,1
141.390248338957,1.24506916104292,ChoiceAudio,-0.3424581211056278,-1.8412092224691756,,141.390248338957,1.24506916104292,142.63531749999993,60,62,146.057928338957,147.30299749999992,62,63,2
148.577683301424,1.37763839857507,ChoiceAudio,-0.9909895499741624,0.5778241941265927,,148.577683301424,1.37763839857507,149.95532169999908,63,65,153.245363301424,154.62300169999907,65,66,2
155.919813288499,1.28532291149895,ChoiceAudio,-0.1415751583940698,0.5778204265526063,,155.919813288499,1.28532291149895,157.20513619999795,66,68,160.587493288499,161.87281619999794,68,69,2
164.331446766053,1.60525573394625,ChoiceAudio,2.820938447984741,-1.8412092224691756,,164.331446766053,1.60525573394625,165.93670249999926,70,72,168.999126766053,170.60438249999925,72,73,2
171.412279966415,1.15405573358294,ChoiceAudio,-0.7059586178025046,0.5778241941265927,,171.412279966415,1.15405573358294,172.56633569999795,73,74,176.079959966415,177.23401569999794,75,75,1
179.010998685771,1.11600671422639,ChoiceAudio,-0.6174691166134042,-0.4835328252015538,,179.010998685771,1.11600671422639,180.1270053999974,76,78,183.678678685771,184.79468539999738,78,79,2
187.534427416718,1.40549358327917,ChoiceAudio,0.2190235144401923,-0.4858879969608252,,187.534427416718,1.40549358327917,188.93992099999716,80,81,192.20210741671798,193.60760099999715,82,82,1
195.698281247722,1.37393785227687,ChoiceAudio,1.3602347490601496,0.5748033905450286,,195.698281247722,1.37393785227687,197.07221909999888,83,85,200.365961247722,201.73989909999887,85,86,2
204.122622168794,1.16455693120588,ChoiceAudio,-0.9511385423802804,0.576498811568549,,204.122622168794,1.16455693120588,205.2871790999999,87,88,208.790302168794,209.95485909999988,89,89,1
211.694373375558,1.09153362443976,ChoiceAudio,-0.8732166276725584,0.5778241988314133,,211.694373375558,1.09153362443976,212.78590699999776,90,92,216.362053375558,217.45358699999775,92,93,2
219.826427991775,1.64682520822316,ChoiceAudio,1.5941395360382973,0.5748033905450286,,219.826427991775,1.64682520822316,221.47325319999817,94,95,224.494107991775,226.14093319999816,96,96,1
228.940858834114,1.32331896588585,ChoiceAudio,-0.1415751583940698,0.5748033905450286,,228.940858834114,1.32331896588585,230.26417779999986,98,99,233.608538834114,234.93185779999985,100,100,1
237.354734374752,1.30415742524565,ChoiceAudio,0.6808463318678105,0.5778204265526063,,237.354734374752,1.30415742524565,238.65889179999766,101,103,242.022414374752,243.32657179999765,103,104,2
247.284769677011,1.08022852298745,ChoiceAudio,-0.5828965542876922,0.5778241988314133,,247.284769677011,1.08022852298745,248.36499819999847,105,107,251.952449677011,253.03267819999846,107,108,2
255.68290634752,1.33396715248091,ChoiceAudio,-0.9909895499741624,0.5778241988372885,,255.68290634752,1.33396715248091,257.01687350000094,109,111,260.35058634752,261.68455350000096,111,112,2
263.602524441525,1.05660145847287,ChoiceAudio,-0.9249052532681116,0.5778241988372885,,263.602524441525,1.05660145847287,264.6591258999979,112,114,268.27020444152504,269.3268058999979,114,115,2
271.515373014594,1.35950518540631,ChoiceAudio,2.007134298978635,0.5748033905450286,,271.515373014594,1.35950518540631,272.8748782000003,116,117,276.183053014594,277.5425582000003,118,118,1
278.990981821829,1.45318857816892,ChoiceAudio,-1.199916248775888,0.577824198837296,,278.990981821829,1.45318857816892,280.4441703999979,119,121,283.658661821829,285.11185039999793,121,122,2
287.578220461877,1.31189493812053,ChoiceAudio,-0.7361345642427622,0.5778225437378595,,287.578220461877,1.31189493812053,288.8901153999975,123,124,292.245900461877,293.55779539999753,125,125,1
296.61596435637,1.21516014363078,ChoiceAudio,-1.0784901554152784,-0.4835298804642923,,296.61596435637,1.21516014363078,297.8311245000008,127,128,301.28364435637,302.4988045000008,129,129,1
305.452751611592,1.29440408840674,ChoiceAudio,-0.1415751583940698,0.5778204265526063,,305.452751611592,1.29440408840674,306.74715569999876,130,132,310.12043161159204,311.4148356999988,132,133,2
313.095890248387,1.30512625161282,ChoiceAudio,0.4982411027933047,0.5778241941265927,,313.095890248387,1.30512625161282,314.4010164999998,134,135,317.763570248387,319.0686964999998,136,136,1
321.407059721831,1.57389637816959,ChoiceAudio,0.5543763909559007,-1.3138895172879554,,321.407059721831,1.57389637816959,322.9809561000006,137,139,326.074739721831,327.6486361000006,139,140,2
329.03996215808,0.908200141919224,ChoiceAudio,0.0268826631705561,0.5778241988314133,,329.03996215808,0.908200141919224,329.94816229999924,140,142,333.70764215808003,334.61584229999926,142,143,2
